feature,importance,feature_type,model_name
emb_386,0.1659122321719708,이미지(ResNet),LogisticRegression_전체
emb_233,0.143835830626221,이미지(ResNet),LogisticRegression_전체
emb_96,0.1421906273372562,이미지(ResNet),LogisticRegression_전체
emb_24,0.1402064373380701,이미지(ResNet),LogisticRegression_전체
emb_99,0.1341613865589868,이미지(ResNet),LogisticRegression_전체
emb_136,0.1262355488372375,이미지(ResNet),LogisticRegression_전체
emb_376,0.1257979033310217,이미지(ResNet),LogisticRegression_전체
emb_288,0.125534064142776,이미지(ResNet),LogisticRegression_전체
emb_342,0.1242420314231514,이미지(ResNet),LogisticRegression_전체
emb_344,0.1239392031267974,이미지(ResNet),LogisticRegression_전체
emb_444,0.1235875468828729,이미지(ResNet),LogisticRegression_전체
emb_471,0.1230556952807907,이미지(ResNet),LogisticRegression_전체
emb_371,0.121592656967391,이미지(ResNet),LogisticRegression_전체
emb_138,0.1192696156391675,이미지(ResNet),LogisticRegression_전체
emb_155,0.116277051008669,이미지(ResNet),LogisticRegression_전체
emb_101,0.1145209446182408,이미지(ResNet),LogisticRegression_전체
emb_353,0.1093376786834787,이미지(ResNet),LogisticRegression_전체
noise_first,0.1093097154790336,센서,LogisticRegression_전체
emb_407,0.1090872744401241,이미지(ResNet),LogisticRegression_전체
emb_387,0.1082348172739364,이미지(ResNet),LogisticRegression_전체
emb_139,0.1082191417610768,이미지(ResNet),LogisticRegression_전체
emb_410,0.1074030537613874,이미지(ResNet),LogisticRegression_전체
emb_325,0.1051865280678312,이미지(ResNet),LogisticRegression_전체
emb_433,0.1045588221856157,이미지(ResNet),LogisticRegression_전체
emb_79,0.1042446547323637,이미지(ResNet),LogisticRegression_전체
emb_409,0.1037064412617921,이미지(ResNet),LogisticRegression_전체
emb_373,0.1036717711581403,이미지(ResNet),LogisticRegression_전체
emb_156,0.1022588573498396,이미지(ResNet),LogisticRegression_전체
emb_224,0.1013223174860433,이미지(ResNet),LogisticRegression_전체
noise_max,0.1009051016414527,센서,LogisticRegression_전체
emb_335,0.024784677193943422,이미지(ResNet),RandomForest_전체
emb_233,0.023474708744787597,이미지(ResNet),RandomForest_전체
emb_279,0.021955696124231393,이미지(ResNet),RandomForest_전체
emb_342,0.02006843524995637,이미지(ResNet),RandomForest_전체
emb_256,0.019739637093979686,이미지(ResNet),RandomForest_전체
emb_258,0.01808985036496745,이미지(ResNet),RandomForest_전체
emb_6,0.01804284591206937,이미지(ResNet),RandomForest_전체
emb_425,0.01774006312096357,이미지(ResNet),RandomForest_전체
emb_472,0.01743042393176361,이미지(ResNet),RandomForest_전체
emb_185,0.017030388265098412,이미지(ResNet),RandomForest_전체
emb_61,0.015697616656676763,이미지(ResNet),RandomForest_전체
emb_485,0.01562686497429539,이미지(ResNet),RandomForest_전체
emb_103,0.014483650894436382,이미지(ResNet),RandomForest_전체
emb_396,0.013479358847434684,이미지(ResNet),RandomForest_전체
emb_371,0.011867149453522614,이미지(ResNet),RandomForest_전체
emb_482,0.011819181035114595,이미지(ResNet),RandomForest_전체
emb_465,0.01150365548837025,이미지(ResNet),RandomForest_전체
emb_386,0.010885752421424326,이미지(ResNet),RandomForest_전체
emb_456,0.010792050799618098,이미지(ResNet),RandomForest_전체
emb_208,0.010737086448244103,이미지(ResNet),RandomForest_전체
emb_24,0.010314811107690332,이미지(ResNet),RandomForest_전체
emb_174,0.009995745031270625,이미지(ResNet),RandomForest_전체
emb_99,0.009984825196939226,이미지(ResNet),RandomForest_전체
emb_284,0.00936862881152619,이미지(ResNet),RandomForest_전체
emb_409,0.00880650816695337,이미지(ResNet),RandomForest_전체
emb_8,0.008733252575152225,이미지(ResNet),RandomForest_전체
emb_502,0.00871150784737146,이미지(ResNet),RandomForest_전체
emb_357,0.008465637612235174,이미지(ResNet),RandomForest_전체
emb_294,0.008055931362428341,이미지(ResNet),RandomForest_전체
noise_max,0.007468346808584722,센서,RandomForest_전체
